Chromosome	Monoc1_2_state3.bed_Start	Monoc1_2_state3.bed_End	Monoc1_2_state3.bed_Name	dnase_Monoc.bed_Start	dnase_Monoc.bed_End	dnase_Monoc.bed_Name
chr9	86125600	86126200	E3	86126036	86126314	chr9.1377
chr9	86911600	86912000	E3	86911327	86911704	chr9.1400
chr9	86938600	86939400	E3	86938830	86939018	chr9.1403
chr9	87008800	87008800	E3	87008417	87009255	chr9.1405
chr9	87009000	87009200	E3	87008417	87009255	chr9.1405
chr9	88984200	88985000	E3	88983950	88984438	chr9.1444
chr9	89100400	89101200	E3	89100380	89100574	chr9.1445
chr9	89381800	89382800	E3	89381685	89382204	chr9.1448
chr9	90094800	90094800	E3	90094611	90095112	chr9.1460
chr9	90170200	90170800	E3	90169696	90170375	chr9.1469
chr9	90172000	90172400	E3	90171799	90172161	chr9.1470
chr9	90220000	90224200	E3	90222722	90223053	chr9.1474
chr9	90299800	90300600	E3	90300454	90300702	chr9.1483
chr9	90301200	90301600	E3	90300778	90301422	chr9.1484
chr9	90328000	90329000	E3	90328296	90328870	chr9.1486
chr9	90337000	90337600	E3	90337275	90337883	chr9.1487
chr9	90406600	90408000	E3	90407649	90408054	chr9.1490
chr9	91537800	91540400	E3	91538459	91539126	chr9.1577
chr9	91542600	91542800	E3	91542563	91542719	chr9.1578
chr9	91550800	91552400	E3	91551590	91551930	chr9.1579
chr9	91965800	91967000	E3	91966733	91967170	chr9.1606
chr9	91990200	91991000	E3	91990087	91990711	chr9.1614
chr9	91994600	91995200	E3	91994450	91994943	chr9.1615
chr9	91995400	91997600	E3	91997445	91998524	chr9.1618
chr9	91995400	91997600	E3	91996727	91997154	chr9.1617
chr9	91995400	91997600	E3	91995453	91995710	chr9.1616
chr9	92002000	92002600	E3	92001738	92002098	chr9.1621
chr9	92003000	92005200	E3	92005113	92005296	chr9.1623
chr9	92003000	92005200	E3	92002865	92003922	chr9.1622
chr9	92013200	92015000	E3	92014941	92015733	chr9.1626
chr9	92013200	92015000	E3	92013567	92013755	chr9.1625
chr9	92016600	92016800	E3	92016670	92016936	chr9.1627
chr9	92021600	92022200	E3	92021287	92021717	chr9.1629
chr9	92024400	92025000	E3	92024452	92024709	chr9.1631
chr9	92035600	92039400	E3	92038628	92039007	chr9.1634
chr9	92035600	92039400	E3	92036947	92037664	chr9.1633
chr9	92040000	92041800	E3	92040234	92041640	chr9.1635
chr9	92055000	92055200	E3	92054903	92055965	chr9.1642
chr9	92055400	92057200	E3	92056447	92057232	chr9.1643
chr9	92055400	92057200	E3	92054903	92055965	chr9.1642
chr9	92057600	92059400	E3	92057413	92058993	chr9.1644
chr9	92069600	92072400	E3	92071706	92072196	chr9.1648
chr9	92069600	92072400	E3	92070195	92070696	chr9.1647
chr9	92069600	92072400	E3	92069667	92069969	chr9.1646
chr9	92078800	92079000	E3	92078812	92079249	chr9.1650
chr9	92080000	92081400	E3	92079938	92080400	chr9.1652
chr9	92092600	92094200	E3	92093582	92094178	chr9.1654
chr9	92092600	92094200	E3	92092824	92093362	chr9.1653
chr9	92114200	92114400	E3	92112209	92114440	chr9.1663
chr9	92133400	92134800	E3	92133797	92133897	chr9.1665
chr9	92138600	92140000	E3	92139040	92139199	chr9.1667
chr9	92140400	92141000	E3	92140605	92141153	chr9.1668
chr9	92275200	92275200	E3	92274819	92275614	chr9.1688
chr9	92761600	92761800	E3	92761741	92762404	chr9.1723
chr9	92848000	92849000	E3	92848375	92848771	chr9.1728
chr9	93532000	93533400	E3	93532601	93532969	chr9.1744
chr9	93534800	93535200	E3	93534709	93535013	chr9.1745
chr9	93536200	93537200	E3	93537062	93537128	chr9.1747
chr9	93602400	93602600	E3	93602368	93602702	chr9.1752
chr9	93602800	93605800	E3	93605221	93605839	chr9.1753
chr9	93621000	93623600	E3	93623069	93623580	chr9.1755
chr9	93847600	93847800	E3	93847744	93848084	chr9.1769
chr9	93848000	93848600	E3	93847744	93848084	chr9.1769
chr9	93908600	93910200	E3	93910061	93910278	chr9.1774
chr9	93908600	93910200	E3	93908744	93909142	chr9.1773
chr9	93913200	93913600	E3	93913222	93913686	chr9.1775
chr9	93924400	93925000	E3	93924491	93924990	chr9.1779
chr9	93927000	93927400	E3	93926888	93927388	chr9.1782
chr9	93958800	93959800	E3	93959523	93959800	chr9.1787
chr9	93971400	93971600	E3	93971340	93971578	chr9.1789
chr9	94181600	94181800	E3	94181522	94181908	chr9.1796
chr9	95491200	95491400	E3	95491025	95491454	chr9.1903
chr9	95542200	95543200	E3	95542553	95542775	chr9.1912
chr9	95730200	95733000	E3	95732750	95732882	chr9.1934
chr9	95730200	95733000	E3	95731387	95731594	chr9.1933
chr9	95738800	95740200	E3	95739497	95739820	chr9.1937
chr9	95738800	95740200	E3	95738803	95739013	chr9.1936
chr9	95785800	95786200	E3	95785095	95786021	chr9.1947
chr9	95786400	95790400	E3	95790316	95790536	chr9.1951
chr9	95786400	95790400	E3	95788815	95789254	chr9.1950
chr9	95786400	95790400	E3	95788079	95788260	chr9.1949
chr9	95786400	95790400	E3	95786619	95787749	chr9.1948
chr9	95791200	95791600	E3	95790600	95791291	chr9.1952
chr9	95792000	95793800	E3	95793682	95793753	chr9.1953
chr9	95798400	95799600	E3	95799099	95800992	chr9.1958
chr9	95798400	95799600	E3	95797859	95798878	chr9.1957
chr9	95808000	95808200	E3	95807894	95808238	chr9.1963
chr9	95827200	95827800	E3	95827576	95828075	chr9.1969
chr9	95827200	95827800	E3	95826646	95827410	chr9.1968
chr9	95845800	95845800	E3	95845229	95846623	chr9.1975
chr9	95856400	95856800	E3	95856651	95858995	chr9.1977
chr9	95870600	95872800	E3	95872075	95872348	chr9.1980
chr9	95870600	95872800	E3	95871531	95871743	chr9.1979
chr9	95874200	95874400	E3	95873917	95874993	chr9.1981
chr9	95874800	95875000	E3	95873917	95874993	chr9.1981
chr9	95877600	95878000	E3	95877687	95878833	chr9.1984
chr9	95878400	95878600	E3	95877687	95878833	chr9.1984
chr9	95882200	95883000	E3	95882037	95883327	chr9.1985
chr9	95883600	95885400	E3	95885299	95885480	chr9.1987
chr9	95883600	95885400	E3	95884396	95884796	chr9.1986
chr9	95888800	95889400	E3	95888488	95890958	chr9.1989
chr9	97405000	97406200	E3	97405347	97405882	chr9.2243
chr9	97412000	97412400	E3	97411396	97412014	chr9.2244
chr9	97413200	97415200	E3	97414232	97414558	chr9.2245
chr9	97427000	97427600	E3	97427253	97427302	chr9.2248
chr9	98901400	98902600	E3	98901814	98902128	chr9.2355
chr9	98903800	98904400	E3	98904018	98904342	chr9.2356
chr9	99662400	99663400	E3	99662470	99662578	chr9.2400
chr9	100128800	100129400	E3	100129305	100129480	chr9.2431
chr9	100671000	100672000	E3	100671121	100671237	chr9.2467
chr9	100867000	100867600	E3	100866823	100867020	chr9.2480
chr9	100871200	100872600	E3	100870843	100871284	chr9.2481
chr9	100891800	100892400	E3	100891587	100892146	chr9.2484
chr9	100908200	100909200	E3	100908339	100908966	chr9.2488
chr9	100985400	100986200	E3	100985491	100985633	chr9.2507
chr9	101821600	101822000	E3	101821572	101822280	chr9.2558
chr9	102195600	102196600	E3	102195812	102196209	chr9.2571
chr9	102357600	102358200	E3	102358186	102358415	chr9.2574
chr9	104342400	104343200	E3	104342419	104342556	chr9.2604
chr9	107537000	107538400	E3	107537705	107537909	chr9.2615
chr9	107592400	107592600	E3	107592276	107592564	chr9.2616
chr9	107597800	107599000	E3	107597536	107597820	chr9.2617
chr9	107623600	107624400	E3	107623673	107624060	chr9.2619
chr9	107631400	107632400	E3	107631021	107631784	chr9.2622
chr9	107634800	107636400	E3	107635388	107635892	chr9.2623
chr9	107769600	107769600	E3	107769340	107769824	chr9.2632
chr9	107814200	107816800	E3	107815467	107815792	chr9.2634
chr9	107814200	107816800	E3	107814671	107814979	chr9.2633
chr9	107825800	107826200	E3	107826110	107826449	chr9.2635
chr9	107828600	107829000	E3	107828650	107829049	chr9.2637
chr9	107877600	107877800	E3	107877541	107877967	chr9.2638
chr9	107889800	107890200	E3	107890077	107890382	chr9.2639
chr9	107903200	107906800	E3	107905439	107905623	chr9.2642
chr9	107903200	107906800	E3	107904815	107904990	chr9.2641
chr9	107903200	107906800	E3	107903964	107904356	chr9.2640
chr9	107917000	107917200	E3	107917112	107917414	chr9.2643
chr9	108061200	108062400	E3	108061858	108062048	chr9.2648
chr9	110275800	110276600	E3	110275711	110276208	chr9.2680
chr9	110373400	110375400	E3	110374337	110374907	chr9.2685
chr9	110399000	110399400	E3	110399155	110399387	chr9.2689
chr9	110401400	110401800	E3	110401145	110401586	chr9.2691
chr9	110407000	110407400	E3	110407149	110407770	chr9.2692
chr9	110437800	110439200	E3	110438324	110438613	chr9.2694
chr9	110445400	110446200	E3	110445776	110446229	chr9.2695
chr9	110446600	110447200	E3	110446611	110446850	chr9.2696
chr9	110514000	110515400	E3	110514209	110514422	chr9.2702
chr9	110516800	110518400	E3	110517578	110517844	chr9.2703
chr9	110640600	110641200	E3	110640805	110641113	chr9.2711
chr9	110691400	110692000	E3	110691775	110692083	chr9.2715
chr9	110691400	110692000	E3	110691362	110691610	chr9.2714
chr9	110716800	110717000	E3	110716734	110716892	chr9.2717
chr9	110738800	110739200	E3	110739000	110739365	chr9.2718
chr9	110745000	110746200	E3	110745224	110745270	chr9.2719
chr9	111063400	111063600	E3	111063254	111063518	chr9.2730
chr9	111342000	111342800	E3	111342334	111342527	chr9.2735
chr9	111393800	111395000	E3	111394225	111394526	chr9.2738
chr9	111848600	111849200	E3	111848651	111848747	chr9.2751
chr9	113871000	113871400	E3	113871287	113871575	chr9.2793
chr9	114823200	114823800	E3	114823517	114823904	chr9.2808
chr9	114832200	114833000	E3	114831822	114832256	chr9.2809
chr9	115516000	115516800	E3	115516192	115516306	chr9.2819
chr9	115533800	115534800	E3	115534319	115534478	chr9.2821
chr9	115571600	115572000	E3	115571663	115571999	chr9.2823
chr9	115601000	115602600	E3	115601625	115601903	chr9.2825
chr9	115617400	115620200	E3	115619168	115619395	chr9.2829
chr9	115617400	115620200	E3	115618654	115618818	chr9.2828
chr9	115620800	115620800	E3	115620753	115621379	chr9.2830
chr9	115630000	115631200	E3	115629653	115630317	chr9.2833
chr9	116017400	116018000	E3	116017795	116018104	chr9.2861
chr9	116148800	116149600	E3	116148952	116149277	chr9.2870
chr9	116178000	116180000	E3	116178754	116178977	chr9.2875
chr9	116310600	116311400	E3	116310794	116311403	chr9.2885
chr9	116347200	116350200	E3	116348613	116349030	chr9.2897
chr9	116351400	116352000	E3	116351469	116352072	chr9.2898
chr9	116647200	116647800	E3	116647345	116647488	chr9.2927
chr9	117102200	117103600	E3	117103503	117104473	chr9.3060
chr9	117102200	117103600	E3	117102383	117103224	chr9.3059
chr9	117136000	117140200	E3	117138283	117138474	chr9.3071
chr9	117178200	117178800	E3	117178630	117178798	chr9.3083
chr9	117379600	117381000	E3	117379036	117379733	chr9.3105
chr9	117404400	117404800	E3	117404304	117404627	chr9.3106
chr9	117645600	117646400	E3	117646037	117646296	chr9.3114
chr9	117655400	117656200	E3	117655999	117656152	chr9.3115
chr9	117730600	117731800	E3	117731007	117731348	chr9.3120
chr9	117751000	117751600	E3	117751263	117751603	chr9.3121
chr9	117758200	117758600	E3	117758039	117758417	chr9.3122
chr9	117768600	117769800	E3	117768939	117769362	chr9.3123
chr9	117770600	117771200	E3	117770936	117771147	chr9.3124
chr9	123439200	123439200	E3	123439160	123439346	chr9.3163
chr9	123497800	123498200	E3	123497573	123498031	chr9.3167
chr9	123499000	123499400	E3	123499283	123499529	chr9.3168
chr9	123533000	123534000	E3	123533388	123533426	chr9.3173
chr9	123687800	123689400	E3	123688232	123689154	chr9.3180
chr9	123692400	123694000	E3	123693507	123694097	chr9.3182
chr9	124324400	124324600	E3	124324172	124324807	chr9.3221
chr9	125584000	125584600	E3	125583931	125584157	chr9.3403
chr9	126311800	126312800	E3	126311464	126311857	chr9.3462
chr9	126511800	126513000	E3	126511986	126512156	chr9.3463
chr9	126979800	126980000	E3	126979718	126979952	chr9.3513
chr9	126980600	126981000	E3	126980919	126981456	chr9.3514
chr9	126985800	126986600	E3	126985481	126986117	chr9.3515
chr9	127001800	127002200	E3	127001523	127001881	chr9.3516
chr9	127025000	127027800	E3	127027269	127027434	chr9.3521
chr9	127036200	127037000	E3	127036610	127036836	chr9.3523
chr9	127040200	127041000	E3	127040429	127040833	chr9.3525
chr9	127044200	127045600	E3	127044111	127044689	chr9.3527
chr9	127047000	127048400	E3	127048139	127049275	chr9.3529
chr9	127048800	127049600	E3	127048139	127049275	chr9.3529
chr9	127055800	127056600	E3	127056481	127056666	chr9.3534
chr9	127055800	127056600	E3	127056047	127056451	chr9.3533
chr9	127068000	127069000	E3	127068610	127069073	chr9.3538
chr9	127083800	127085600	E3	127084578	127085435	chr9.3548
chr9	127083800	127085600	E3	127083972	127084291	chr9.3547
chr9	128393400	128394000	E3	128393695	128393803	chr9.3696
chr9	128410600	128412000	E3	128411651	128411915	chr9.3697
chr9	128412600	128413600	E3	128412563	128412881	chr9.3698
chr9	128425400	128425800	E3	128425584	128425720	chr9.3699
chr9	129153200	129154000	E3	129153345	129153483	chr9.3786
chr9	129288400	129288600	E3	129288439	129289161	chr9.3817
chr9	130281000	130282000	E3	130281432	130282285	chr9.3988
chr9	130281000	130282000	E3	130280997	130281122	chr9.3987
chr9	130282200	130282400	E3	130281432	130282285	chr9.3988
chr9	130283400	130284200	E3	130283694	130283853	chr9.3989
chr9	130310800	130311000	E3	130310634	130311182	chr9.4008
chr9	130317800	130318600	E3	130317910	130318841	chr9.4013
chr9	130319600	130319800	E3	130319634	130320319	chr9.4014
chr9	130320000	130320000	E3	130319634	130320319	chr9.4014
chr9	130369800	130370200	E3	130369806	130370052	chr9.4026
chr9	130498000	130498600	E3	130496751	130498000	chr9.4056
chr9	130524200	130524800	E3	130524274	130525155	chr9.4066
chr9	130526200	130526800	E3	130526253	130526728	chr9.4067
chr9	130534000	130534400	E3	130533192	130534147	chr9.4068
chr9	130545600	130545800	E3	130545225	130546338	chr9.4072
chr9	130546200	130546200	E3	130545225	130546338	chr9.4072
chr9	130564200	130564400	E3	130564210	130565783	chr9.4074
chr9	130595400	130596600	E3	130595889	130596164	chr9.4089
chr9	130597600	130599000	E3	130597821	130598904	chr9.4090
chr9	130624000	130625600	E3	130624305	130625203	chr9.4100
chr9	130668000	130669800	E3	130668618	130669139	chr9.4119
chr9	130682000	130682200	E3	130681415	130682150	chr9.4122
chr9	130789000	130789200	E3	130789167	130789768	chr9.4158
chr9	131761600	131762600	E3	131762117	131762377	chr9.4344
chr9	131831800	131832200	E3	131831372	131832168	chr9.4360
chr9	131904800	131906000	E3	131905188	131905658	chr9.4382
chr9	132095800	132096000	E3	132095965	132097278	chr9.4435
chr9	132101000	132101400	E3	132101247	132101752	chr9.4438
chr9	132101600	132101800	E3	132101247	132101752	chr9.4438
chr9	132104800	132105600	E3	132104900	132105021	chr9.4439
chr9	132105800	132106000	E3	132105852	132106626	chr9.4440
chr9	132106200	132107600	E3	132105852	132106626	chr9.4440
chr9	132109400	132109800	E3	132109711	132110406	chr9.4442
chr9	132110400	132111400	E3	132109711	132110406	chr9.4442
chr9	132176800	132177000	E3	132175083	132176867	chr9.4460
chr9	132178800	132179600	E3	132178707	132179524	chr9.4463
chr9	132232800	132233200	E3	132232782	132233088	chr9.4489
chr9	132524200	132525400	E3	132524984	132525070	chr9.4598
chr9	132536000	132536200	E3	132535842	132536367	chr9.4599
chr9	132539800	132540000	E3	132539236	132540080	chr9.4600
chr9	132578800	132579800	E3	132579352	132579692	chr9.4604
chr9	132660600	132660800	E3	132660555	132660695	chr9.4616
chr9	132662600	132663600	E3	132663054	132663344	chr9.4617
chr9	132672800	132673800	E3	132672945	132673022	chr9.4618
chr9	132752600	132753200	E3	132752639	132752846	chr9.4621
chr9	132788800	132789400	E3	132789310	132789440	chr9.4624
chr9	132796600	132799200	E3	132796958	132797111	chr9.4625
chr9	132891000	132891200	E3	132890950	132891552	chr9.4633
chr9	132899800	132900600	E3	132900414	132900953	chr9.4634
chr9	134132400	134134600	E3	134133161	134133448	chr9.4920
chr9	134139200	134139400	E3	134139318	134140010	chr9.4922
chr9	134232000	134232200	E3	134231825	134232119	chr9.4968
chr9	134285000	134285600	E3	134285406	134285795	chr9.4972
chr9	134459600	134460200	E3	134460161	134460680	chr9.5018
chr9	134465800	134467200	E3	134466489	134466982	chr9.5021
chr9	134473400	134473800	E3	134473292	134474037	chr9.5023
chr9	134477800	134479400	E3	134477956	134479547	chr9.5024
chr9	134496200	134500800	E3	134500022	134500383	chr9.5030
chr9	134496200	134500800	E3	134498000	134498223	chr9.5029
chr9	134496200	134500800	E3	134496853	134497322	chr9.5028
chr9	134496200	134500800	E3	134496306	134496434	chr9.5027
chr9	134502200	134507000	E3	134505939	134506240	chr9.5032
chr9	134502200	134507000	E3	134502923	134503929	chr9.5031
chr9	134510000	134511400	E3	134510735	134511172	chr9.5033
chr9	134525000	134527800	E3	134525683	134526085	chr9.5034
chr9	134531800	134532200	E3	134531737	134532254	chr9.5035
chr9	134532600	134534000	E3	134533853	134534087	chr9.5036
chr9	134544000	134546200	E3	134543829	134544447	chr9.5038
chr9	134553400	134554800	E3	134553887	134554336	chr9.5039
chr9	134573400	134573800	E3	134573317	134574163	chr9.5040
chr9	134594200	134595200	E3	134594797	134595007	chr9.5041
chr9	134603000	134603200	E3	134602854	134603039	chr9.5042
chr9	134604600	134605400	E3	134604585	134605213	chr9.5043
chr9	134609800	134610000	E3	134609658	134609891	chr9.5046
chr9	135094200	135095200	E3	135094255	135094464	chr9.5164
chr9	135987600	135988400	E3	135987442	135989231	chr9.5337
chr9	135989000	135990600	E3	135990224	135990645	chr9.5339
chr9	135989000	135990600	E3	135989354	135989640	chr9.5338
chr9	135989000	135990600	E3	135987442	135989231	chr9.5337
chr9	135999800	136000800	E3	136000038	136000157	chr9.5343
chr9	136335600	136340600	E3	136339474	136339605	chr9.5479
chr9	136335600	136340600	E3	136335587	136336405	chr9.5478
chr9	136704800	136705600	E3	136704834	136705999	chr9.5665
chr9	136708800	136709400	E3	136709338	136711137	chr9.5670
chr9	136708800	136709400	E3	136708731	136709129	chr9.5669
chr9	136711200	136711600	E3	136711543	136711941	chr9.5671
chr9	136721000	136721600	E3	136720517	136721818	chr9.5677
chr9	136722800	136723000	E3	136722914	136723187	chr9.5679
chr9	136729000	136729600	E3	136728924	136729096	chr9.5684
chr9	136811000	136811200	E3	136808663	136811580	chr9.5739
chr9	136925200	136925600	E3	136923866	136927973	chr9.5791
chr9	137222200	137222800	E3	137221624	137222254	chr9.5889
chr9	137238000	137238800	E3	137237589	137240059	chr9.5897
chr9	137249600	137250600	E3	137249658	137252528	chr9.5900
chr9	137252200	137252600	E3	137249658	137252528	chr9.5900
chr9	137255000	137257200	E3	137255118	137258763	chr9.5902
chr9	137257400	137257600	E3	137255118	137258763	chr9.5902
chr9	137259400	137264600	E3	137260764	137265584	chr9.5904
chr9	137259400	137264600	E3	137259935	137260283	chr9.5903
chr9	137270200	137270600	E3	137268560	137274531	chr9.5907
chr9	137270800	137271400	E3	137268560	137274531	chr9.5907
chr9	137272400	137272800	E3	137268560	137274531	chr9.5907
chr9	137274800	137276200	E3	137276044	137278529	chr9.5909
chr9	137274800	137276200	E3	137275040	137275517	chr9.5908
chr9	137277000	137277200	E3	137276044	137278529	chr9.5909
chr9	137277800	137278600	E3	137276044	137278529	chr9.5909
chr9	137282200	137283600	E3	137283250	137283409	chr9.5913
chr9	137282200	137283600	E3	137282233	137282718	chr9.5912
chr9	137289400	137289600	E3	137287859	137289733	chr9.5916
chr9	137292000	137292400	E3	137291309	137292378	chr9.5917
chr9	137294000	137294600	E3	137293475	137294695	chr9.5919
chr9	137302800	137303800	E3	137300886	137304831	chr9.5922
chr9	137803600	137805200	E3	137804828	137805184	chr9.6154
chr9	137814800	137815200	E3	137814260	137815053	chr9.6158
chr9	137816600	137817800	E3	137816934	137817303	chr9.6159
chr9	137830000	137830200	E3	137829576	137830351	chr9.6162
chr9	138797000	138797200	E3	138797022	138797070	chr9.6580
chr9	138818400	138819800	E3	138818342	138819578	chr9.6588
chr9	138861200	138861600	E3	138860872	138861763	chr9.6605
chr9	138935600	138937000	E3	138935227	138935650	chr9.6640
chr9	138959000	138960800	E3	138958965	138959368	chr9.6653
chr9	138969000	138969600	E3	138969355	138969618	chr9.6655
chr9	139261000	139261400	E3	139259620	139262400	chr9.6764
chr9	139271200	139271800	E3	139271666	139274261	chr9.6770
chr9	139415200	139418000	E3	139416627	139418648	chr9.6841
chr9	139415200	139418000	E3	139414974	139416530	chr9.6840
chr9	139428400	139429200	E3	139429186	139430564	chr9.6844
chr9	139428400	139429200	E3	139423768	139428785	chr9.6843
chr9	139436000	139436200	E3	139435622	139436144	chr9.6848
chr9	139437800	139437800	E3	139437707	139438161	chr9.6849
chr9	139446400	139447000	E3	139445334	139447409	chr9.6851
chr9	139451400	139452800	E3	139452241	139452592	chr9.6854
chr9	139454200	139455400	E3	139455064	139455413	chr9.6856
chr9	139512800	139513400	E3	139508154	139513624	chr9.6885
chr9	139514200	139514600	E3	139513801	139519241	chr9.6886
chr9	139573000	139573400	E3	139571992	139574532	chr9.6904
chr9	139592600	139593400	E3	139592253	139592816	chr9.6918
chr9	139599800	139600000	E3	139599968	139600473	chr9.6921
chr9	139620000	139621000	E3	139620141	139620268	chr9.6929
chr9	140162200	140163800	E3	140163602	140163953	chr9.7118
chr9	140162200	140163800	E3	140162965	140163367	chr9.7117
chr9	140162200	140163800	E3	140162318	140162771	chr9.7116
chr9	140170200	140170400	E3	140169767	140173317	chr9.7121
chr9	140170600	140170600	E3	140169767	140173317	chr9.7121
chr9	140170800	140170800	E3	140169767	140173317	chr9.7121
chr9	140173800	140174800	E3	140174403	140176400	chr9.7122
chr9	140345800	140346000	E3	140344873	140346794	chr9.7172
chr9	140346400	140346800	E3	140344873	140346794	chr9.7172
chr9	140388200	140388400	E3	140386817	140389857	chr9.7193
chr9	140497000	140497200	E3	140497152	140497575	chr9.7226
chr9	140507000	140507600	E3	140506049	140507156	chr9.7230
chr9	140583400	140584600	E3	140583162	140583638	chr9.7244
chr7	38200	38600	E3	38418	38755	chr7.8
chr7	89600	90200	E3	88989	89919	chr7.26
chr7	102000	103200	E3	102804	103229	chr7.29
chr7	113000	113200	E3	112817	113224	chr7.30
chr7	143800	144200	E3	143310	144340	chr7.42
chr7	166200	166400	E3	165961	168783	chr7.56
chr7	210200	210400	E3	209609	212164	chr7.89
chr7	642400	644000	E3	643651	644911	chr7.259
chr7	642400	644000	E3	643222	643619	chr7.258
chr7	644200	644400	E3	643651	644911	chr7.259
chr7	658200	658400	E3	658108	658479	chr7.266
chr7	946800	947400	E3	946404	948914	chr7.373
chr7	949800	950200	E3	949004	951202	chr7.374
chr7	962400	962600	E3	961272	963505	chr7.381
chr7	963800	964200	E3	964150	964807	chr7.383
chr7	963800	964200	E3	963863	963919	chr7.382
chr7	964400	964600	E3	964150	964807	chr7.383
chr7	964800	965400	E3	965157	965823	chr7.384
chr7	964800	965400	E3	964150	964807	chr7.383
chr7	966400	969600	E3	968117	968720	chr7.385
chr7	971800	972200	E3	970661	972503	chr7.386
chr7	980800	981400	E3	980475	980916	chr7.391
chr7	989000	989800	E3	988673	989692	chr7.394
chr7	1005400	1005600	E3	1002759	1005691	chr7.398
chr7	1007800	1008600	E3	1008519	1008606	chr7.399
chr7	1069800	1070200	E3	1069192	1070465	chr7.430
chr7	1573600	1574000	E3	1573356	1574444	chr7.649
chr7	1955400	1956800	E3	1954591	1958869	chr7.806
chr7	1959000	1959200	E3	1959034	1960891	chr7.807
chr7	1960600	1960800	E3	1959034	1960891	chr7.807
chr7	1961600	1962600	E3	1961694	1963328	chr7.808
chr7	1981000	1982600	E3	1981159	1981705	chr7.816
chr7	1990200	1991400	E3	1990200	1994770	chr7.823
chr7	2057600	2057800	E3	2057487	2060172	chr7.852
chr7	2277000	2277200	E3	2276888	2277315	chr7.964
chr7	2347200	2347600	E3	2347405	2347582	chr7.990
